"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "XML", "JSON", "comment", "blank", "total"
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\components\AddProductModal.tsx", "TypeScript JSX", 0, 0, 537, 0, 0, 1, 15, 553
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\components\ProductModal.tsx", "TypeScript JSX", 0, 0, 856, 0, 0, 2, 19, 877
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\components\ProductsTable.tsx", "TypeScript JSX", 0, 0, 485, 0, 0, 5, 18, 508
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\hooks\useCategories.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 9, 70
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\hooks\useProductFilters.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 4, 31
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\hooks\useProductForm.ts", "TypeScript", 222, 0, 0, 0, 0, 3, 18, 243
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\hooks\useProductModal.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\hooks\useProducts.ts", "TypeScript", 135, 0, 0, 0, 0, 1, 14, 150
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\hooks\useWarrantyProviders.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 9, 71
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\services\productService.ts", "TypeScript", 547, 0, 0, 0, 0, 0, 25, 572
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\types\types.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 8, 90
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\profile\ProfilePage.tsx", "TypeScript JSX", 0, 0, 26, 0, 0, 1, 4, 31
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\profile\components\ApiKeyInput.tsx", "TypeScript JSX", 0, 0, 45, 0, 0, 0, 3, 48
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\profile\components\ProfileForm.tsx", "TypeScript JSX", 0, 0, 289, 0, 0, 3, 13, 305
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\profile\hooks\useProfileForm.ts", "TypeScript", 234, 0, 0, 0, 0, 8, 23, 265
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\profile\services\companyService.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\profile\types\company.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 3, 33
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\records\RecordsPage.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 1, 5, 24
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\records\components\AddRecordModal.tsx", "TypeScript JSX", 0, 0, 312, 0, 0, 4, 15, 331
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\records\components\RecordModal.tsx", "TypeScript JSX", 0, 0, 254, 0, 0, 4, 8, 266
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\records\components\RecordsTable.tsx", "TypeScript JSX", 0, 0, 400, 0, 0, 5, 13, 418
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\records\components\VerifiedRecordModal.tsx", "TypeScript JSX", 0, 0, 391, 0, 0, 1, 12, 404
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\records\components\VerifyRecordModal.tsx", "TypeScript JSX", 0, 0, 207, 0, 0, 1, 15, 223
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\records\hooks\useRecordsTable.ts", "TypeScript", 161, 0, 0, 0, 0, 2, 15, 178
